# perf-gui stage timings — release profile
# reps = 3, tol = witness, budget δ chosen by scene::fit_delta
# die: landing = Landed
# die: landing = Landed
# die: landing = Landed

## die — 84 nodes, δ = 1.000e-4 m, 348 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.04 | 74.8 |
| eval: edit WITH prior (memo) | 0.04 | 20.6 |
| eval: edit WITHOUT prior | 0.03 | 3.6 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.00 | 167.2 |
| land: gather + checks registry + A5 badge | 0.03 | 13.2 |
|   of which: product_recorded (the gather) | 0.03 | 33.6 |
|   of which: run_checks_on (advisory registry) | 0.00 | 205.8 |
| fit_delta: probe tessellation (open only) | 2053.19 | 1.1 |
| INDEX build total (tessellate + BVH + id map) | 1886.75 | 2.3 |
|   of which: mesh::tessellate (whole model) | 1184.07 | 1.6 |
| scene: scene_focused (GPU vertex assembly) | 63.00 | 8.0 |
| == EDIT→PICTURE TOTAL == | 1949.82 | 0.0 |
# tube_arc: landing = Landed
# tube_arc: landing = Landed
# tube_arc: landing = Landed

## tube_arc — 2 nodes, δ = 4.546e-4 m, 999092 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.06 | 146.2 |
| eval: edit WITH prior (memo) | 0.04 | 9.5 |
| eval: edit WITHOUT prior | 0.04 | 2.9 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 193.7 |
| land: gather + checks registry + A5 badge | 0.05 | 4.4 |
|   of which: product_recorded (the gather) | 0.04 | 23.7 |
|   of which: run_checks_on (advisory registry) | 0.00 | 316.3 |
| fit_delta: probe tessellation (open only) | 383.28 | 11.1 |
| INDEX build total (tessellate + BVH + id map) | 1679.05 | 10.5 |
|   of which: mesh::tessellate (whole model) | 943.83 | 3.1 |
| scene: scene_focused (GPU vertex assembly) | 60.29 | 7.7 |
| == EDIT→PICTURE TOTAL == | 1739.44 | 0.0 |
# hollow_tube_elbow: landing = Landed
# hollow_tube_elbow: landing = Landed
# hollow_tube_elbow: landing = Landed

## hollow_tube_elbow — 2 nodes, δ = 6.268e-4 m, 1000688 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.10 | 67.2 |
| eval: edit WITH prior (memo) | 0.10 | 13.1 |
| eval: edit WITHOUT prior | 0.09 | 4.1 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 165.6 |
| land: gather + checks registry + A5 badge | 0.10 | 11.8 |
|   of which: product_recorded (the gather) | 0.11 | 2.9 |
|   of which: run_checks_on (advisory registry) | 0.00 | 233.4 |
| fit_delta: probe tessellation (open only) | 548.27 | 12.4 |
| INDEX build total (tessellate + BVH + id map) | 1276.46 | 0.5 |
|   of which: mesh::tessellate (whole model) | 655.42 | 3.0 |
| scene: scene_focused (GPU vertex assembly) | 43.51 | 11.2 |
| == EDIT→PICTURE TOTAL == | 1320.17 | 0.0 |
# hollow_tube_ring: landing = Landed
# hollow_tube_ring: landing = Landed
# hollow_tube_ring: landing = Landed

## hollow_tube_ring — 2 nodes, δ = 2.669e-3 m, 1000056 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.10 | 79.4 |
